Date,Energy_Generated,Efficiency,Energy_Exported,Energy_Used,Peak_Power,Peak_Time,Condition,Min_Temperature,Max_Temperature,Peak_Energy_Import,Off-Peak_Energy_Import,Shoulder_Energy_Import,High-Shoulder_Energy_Import,Insolation
20190630,3364,3.115,2762,0,837,14:15,Partly Cloudy,17,32,NaN,NaN,NaN,NaN,6393
20190701,1974,1.828,1642,0,686,13:25,Mostly Cloudy,17,28,NaN,NaN,NaN,NaN,6393
20190702,1590,1.472,806,0,419,13:10,Cloudy,14,24,NaN,NaN,NaN,NaN,6393
20190703,3122,2.891,2852,0,795,12:50,Partly Cloudy,18,32,NaN,NaN,NaN,NaN,6393
20190704,5050,4.676,4339,0,689,13:55,Fine,13,38,NaN,NaN,NaN,NaN,6394
20190705,4902,4.539,4517,0,662,14:10,Fine,15,37,NaN,NaN,NaN,NaN,6394
20190706,4947,4.581,4471,0,700,14:25,Fine,18,36,NaN,NaN,NaN,NaN,6394
20190707,1952,1.807,1552,0,661,12:55,Mostly Cloudy,19,28,NaN,NaN,NaN,NaN,6394
20190708,2447,2.266,1953,0,912,13:20,Mostly Cloudy,19,32,NaN,NaN,NaN,NaN,6394
20190709,698,0.646,473,0,160,16:50,Showers,15,20,NaN,NaN,NaN,NaN,6394
20190710,5177,4.794,4582,0,708,13:55,Fine,15,29,NaN,NaN,NaN,NaN,6395
20190711,4338,4.017,4164,0,852,12:35,Fine,16,32,NaN,NaN,NaN,NaN,6395
20190712,5212,4.826,4664,0,705,14:15,Fine,14,33,NaN,NaN,NaN,NaN,6395
20190713,4523,4.188,4360,0,771,15:25,Fine,14,33,NaN,NaN,NaN,NaN,6395
20190714,3466,3.209,2784,0,874,12:45,Partly Cloudy,19,27,NaN,NaN,NaN,NaN,6395
20190715,5366,4.969,4914,0,728,14:05,Fine,13,32,NaN,NaN,NaN,NaN,6394
20190716,5278,4.887,4953,0,759,14:45,Fine,10,34,NaN,NaN,NaN,NaN,6394
20190717,2706,2.506,2228,0,709,15:40,Mostly Cloudy,14,30,NaN,NaN,NaN,NaN,6394
20190718,3182,2.946,2692,0,988,14:15,Partly Cloudy,15,28,NaN,NaN,NaN,NaN,6394
20190719,5235,4.847,4797,0,706,14:00,Fine,15,34,NaN,NaN,NaN,NaN,6393
20190720,3052,2.826,1868,0,769,15:30,Partly Cloudy,17,32,NaN,NaN,NaN,NaN,6392
20190721,1998,1.850,1353,0,506,11:55,Mostly Cloudy,19,30,NaN,NaN,NaN,NaN,6392
20190722,4657,4.312,3921,0,651,14:00,Fine,17,39,NaN,NaN,NaN,NaN,6391
20190723,4776,4.422,3963,0,730,14:05,Fine,15,43,NaN,NaN,NaN,NaN,6390
20190724,4478,4.146,4004,0,658,13:45,Fine,16,40,NaN,NaN,NaN,NaN,6389
20190725,4848,4.489,4224,0,668,14:25,Fine,15,43,NaN,NaN,NaN,NaN,6388
20190726,1041,0.964,638,0,774,14:50,Cloudy,16,25,NaN,NaN,NaN,NaN,6386
20190727,594,0.550,366,0,227,17:55,Showers,14,19,NaN,NaN,NaN,NaN,6385
20190728,3822,3.539,3336,0,883,14:10,Partly Cloudy,11,27,NaN,NaN,NaN,NaN,6383
20190729,5145,4.764,4523,0,705,14:05,Fine,9,34,NaN,NaN,NaN,NaN,6381
20190730,1389,1.286,961,0,295,13:40,Cloudy,15,21,NaN,NaN,NaN,NaN,6379
20190731,3636,3.367,3332,0,806,14:15,Partly Cloudy,14,27,NaN,NaN,NaN,NaN,6376
20190801,4154,3.846,3615,0,730,12:45,Fine,14,32,NaN,NaN,NaN,NaN,6374
20190802,3529,3.268,2892,0,877,13:15,Partly Cloudy,17,33,NaN,NaN,NaN,NaN,6371
20190803,4715,4.366,4530,0,657,12:40,Fine,13,36,NaN,NaN,NaN,NaN,6368
20190804,4144,3.837,3653,0,687,11:20,Fine,16,34,NaN,NaN,NaN,NaN,6364
20190805,906,0.839,680,0,216,14:10,Cloudy,18,23,NaN,NaN,NaN,NaN,6361
20190806,2158,1.998,1469,0,538,16:25,Mostly Cloudy,19,30,NaN,NaN,NaN,NaN,6357
20190807,2316,2.144,1947,0,785,13:55,Mostly Cloudy,18,30,NaN,NaN,NaN,NaN,6353
20190808,4578,4.239,4058,0,659,13:35,Fine,18,37,NaN,NaN,NaN,NaN,6348
20190809,4137,3.831,3429,0,662,13:20,Fine,17,40,NaN,NaN,NaN,NaN,6343
20190810,2013,1.864,1640,0,834,11:40,Mostly Cloudy,17,27,NaN,NaN,NaN,NaN,6338
20190811,1095,1.014,932,0,433,15:05,Cloudy,15,20,NaN,NaN,NaN,NaN,6333
20190812,988,0.915,805,0,327,13:45,Cloudy,14,19,NaN,NaN,NaN,NaN,6327
20190813,1998,1.850,1830,0,447,11:00,Mostly Cloudy,13,20,NaN,NaN,NaN,NaN,6320
20190814,4894,4.531,4171,0,699,13:15,Fine,9,30,NaN,NaN,NaN,NaN,6314
20190815,1091,1.010,1009,0,358,14:25,Cloudy,16,23,NaN,NaN,NaN,NaN,6307
20190816,5202,4.817,4858,0,746,14:15,Fine,14,32,NaN,NaN,NaN,NaN,6300
20190817,5033,4.660,4445,0,714,13:45,Fine,13,34,NaN,NaN,NaN,NaN,6292
